customer_tweet_id,customer_text,brand_tweet_id,brand_reply
2618135.0,"Thank you Kathleen of @115821 for entertaining my long chat and for giving me free 1 day shipping! Unlike the first CSR I chatted with, whose name I can neither pronounce nor remember, you were very accommodating and helpful. Thank you ❤️ @117634 @AmazonHelp",2618134,"@240710 Glad to hear that you've received enough support from our team. However, I'll ensure to forward your feedback internally to the concerned team so that it is not repeated in the future. ^NK"
1472730.0,"@AmazonHelp I've tried signing out &amp; back in, no difference, the item is not added to my wishlist,  it asks for sign in again, when im already logged in",1472731,"@461837 When you sign in, are you selecting the ""keep me signed in"" check box? ^ZW"
374528.0,@AmazonHelp no :-( got delayed and now the estimate is anytime until wednesday sadly,374527,@204805 I can understand why you'd be upset! Who's the carrier for your order listed here: https://t.co/Y5jpI9gRhE ^HC
725944.0,@AmazonHelp 11th Oct 7.49 am.,725946,"@293898 Looks like the deal might've expired, Paras. ^HD"
1020272.0,@AmazonHelp Ah ok. So I have a $10 USD credit and a $15 CDN credit?,1020271,@361427 Sorry about that! Amazon.ca can be reached with this link: https://t.co/Q7Ftz6nj80 ^EP
2831581.0,Eu não conheço nenhuma empresa que entregue os pedidos mais rápido que a @117086 👏👏👏,2831578,"@788399 Olá Daniel, bom demais, né! ❤ ^DA"
1841370.0,@116313 アマゾンさんこんなの来たんですけど…… https://t.co/UAgvfaHOPf,1841369,@551821 Amazonからのメッセージではありません。当サイトを装ったメールを利用し、お客様の情報を不正に取得しようとする悪質な詐欺が発生しています。今後も身に覚えのないメールに連絡や、個人情報の登録等をいただかないようお気を付けください。MH https://t.co/tL0fDIHQSm
2284201.0,"@AmazonHelp amazon, I am really disappointed in your delivery service. Item has not come wrapped in a box and my partner now knows her Christmas present! #ruined",2284199,"@663793 I understand, Marc. If available for the item, you can mark ""Ship in Amazon box"" on the checkout page if you don't want to reveal the contents: https://t.co/U3gACW5hia. ^SD"
1108186.0,Il #FireStick di @120540 ora c è a quando app italiche tipo @20578 @20579 @20580 @20581 o altri? https://t.co/9OrrusM147,1108185,"@381543 Grazie per l'interesse! Non abbiamo anticipazioni, tieni d'occhio l'app o il sito per non perderti ogni eventuale novità! 😉 ^LF"
1097655.0,"@117086 a transportadora já veio 2x na minha casa e não consegui pegar minha encomenda, há alguma forma de mudar o endereço de entrega (colocar o endereço do meu trabalho, por exemplo)?",1097653,"@379029 Olá, Pamela. O pacote foi enviado pela Amazon ou por um vendedor externo? ^CR"
1205415.0,"@AmazonHelp please help, customer service will not link my accounts and I can prove I own my accounts, this is extremely frustrating",1205414,"@403120 Oh no, Akinola! Please check out our Twitch help page here: https://t.co/KHcaJ2u7xw. Please keep us updated on the outcome. ^NS"
27871.0,@122002 @120474 Tried again and it stated he had exceeded his limit. Not having to stand at the Ally. #notimpressed,27872,@121890 Hi Claire. Please use this link to get in touch and we'll help: https://t.co/JzP7hlA23B ^RL
2890449.0,@AmazonHelp Nah.  I'm trying to watch something.  I don't think it's my phone.  I'll try my wife's S8 later.  I have the US factory unlocked version S8+,2890451,@130147 The link provided will be give you the opportunity to reach out to us and we can run through troubleshooting steps together. ^JO
1241101.0,Out of four @115821 orders scheduled for delivery today I received 1. Two entire orders still haven't even shipped. Super disappointed,1241099,"@411114 I'm sorry for the disappointing experience, Russell. Have you gotten any e-mails about the orders which haven't shipped? ^BL"
2284014.0,@AmazonHelp I need help with my order because it keeps saying revise payment option when i have more money then needed in my account to buy what i want and i already entered the information correctly and it says that the order already went through,2284011,"@663742 Hi there- If the info is correct, have you tried deleting and re adding to see if this refreshes the order for you? ^NV"
1711457.0,"@AmazonHelp A package was delivered to my home but it's my neighbor's package. However, the orders page says my packages were delivered.",1711458,@518125 I'm sorry for the wait for your order. Please try these steps to locate a missing delivery: https://t.co/09zHDUYRiB ^DO
559816.0,"@115830 well wasted day delivery didn't come even though the van clearly went passed our house on the map just didn't stop ,waited till 10pm like told now lets see if comes tomorrow really don't need this crap  having to send stuff back,stay clear till February .",559814,@247927 Oh no! So sorry for the delay! We are here to help! Please reach out to us here: https://t.co/6f9T7pbTKL so we can look into this issue with you! ^AD
407064.0,@AmazonHelp Non pas encore je vais le faire je n'y est pas pensé,407065,"@212021 Voici comment contacter votre vendeur : https://t.co/4Qq68Z6QNm
^YL"
2492230.0,@AmazonHelp Prime-why give me a delivery date you can’t meet?2nd delivery in a row that’s not been delivered on time. Emailed 1 hour before!,2492229,"@711505 I'm so sorry to hear about the repeat issues you've had with your orders! Has the order already been shipped? If so, can you let us know who the carrier is? You can find the tracking information for your order here: https://t.co/aaDyEz1VgE ^GS"
2453243.0,"@115821 I got charged for amazon music but I didn't use it at all. I just cancelled it, can I get a refund or is it too late?",2453241,"@702845 If you didn't use Amazon Music from the time you were charged to when you canceled, you'll get a full refund, David! ^FD"
147250.0,@AmazonHelp It’s a waste of time. It’s happened before only with a clean bin or they’ve left leaving up the porch in view of anyone who works by. All you do is apologise and nothing changes.,147248,"@149453 As this has happened before we would like to personally take a closer look into this for you, please click on the following link: https://t.co/tkLCr7DNil.^SM"
2563981.0,Oye @116875 ¿van a tener descuentos en toda la música por el buen fin o solo algunos títulos?,2563980,"@727534 Hola RävenHëart, en el momento no contamos con esta información, puedes estar pendiente de nuestra página web para más novedades: https://t.co/iQ5LplZt3m. ❤⚡ ^DA"
2288235.0,@115850  A phone(defective) that was intended to be a diwali gift has yet not been returned nor refunded for.Thank you for ruining diwali. https://t.co/JuhZMzRhfg,2288234,"@664791 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^MO"
549380.0,@AmazonHelp No. El transportista se supone que son ustedes,549382,"@247929 Comprendo, ¿nos podrías indicar cuál es la fecha de entrega estimada que te hemos confirmado en el correo electrónico? ^KA"
2621062.0,"@AmazonHelp Acabo de hablar con DHL y me dice que la guía se generó el 10 de noviembre, pero que aún no les entregan el paquete ustedes a la gente de DHL. https://t.co/0CwfBrjRqm",2621064,"@270191 Entiendo, en este caso por favor contacta a nuestro Servicio al Cliente para más información de tu paquete: https://t.co/beR78zMMYB . ^MB"
969642.0,@AmazonHelp Spoke to someone on the phone absolutely useless,969643,@230312 What were you advised when you reached out to us ? ^CR
2300018.0,@AmazonHelp  https://t.co/FxctltgoKH,2300017,@667563 Te recomiendo contactar con nuestro SAC por medio del siguiente enlace omitiendo el inicio de sesión para verificar tu caso  https://t.co/K8cgD9LRPb ^VL
1615523.0,@AmazonHelp laut Sendungsverfolgung sollte es Montag dann in der Packstation liegen. Das warte ich jetzt noch ab =D,1615524,@196520 Danke für die schnelle Rückmeldung! Halte uns gern auf dem Laufenden. Hab noch einen schönen Sonntag 😉 Gruß ^DS
974902.0,"@AmazonHelp @115850 @AmazonHelp 
Ironically, I have been hearing the same nonsense from 9th October!!
Do U even know the issue that U r planning to resolve? Or again it's random nonsense? 
#Nonsense #Liars",974903,@285229 Sorry about that. We've received your details and we are working on it. We will reach out to you shortly. ^GK
697873.0,@AmazonHelp Out for delivery for 2 days constantly but yet hang somewhere..most serious management problem of your own courier... strange..,697875,@208009 We understand your concern about your order. Please share your details from the link provided for us to assist you better. ^SV
763607.0,"@AmazonHelp my account info was changed without my consent and in order to contact your support I need to log in which I can't do, any help",763606,@302485 I'm sorry you're having account troubles! Please reach out to us here: https://t.co/jzvkhdlrK5 and we can help! ^TK
1034713.0,@AmazonHelp waiting for your support and re supply of product,1034714,@364769 We'll get back as soon as we can. Request you to wait till then. ^SK
373298.0,@115850 Pls see to thi matter as we have to ultimately pay cash,383312,@206815 are limited in number. I'll be sure to pass on your comments to the concerned team. [2/2] ^NS
1033211.0,@AmazonHelp I sent a message &amp; it says I'll hear back within 12hrs. I don't have time for this. I'm done with Amazon. Goodnight.,1033212,@364448 Please keep us posted Carol. We do not have the ability to access your account here. ^TP
218877.0,"So that Amazon package that never arrived... I think it arrived today LOL like this can't be the ""repurchased"" item, it must be the original",218876,"@168190 So you can confirm which one you received, find the tracking for the replacement order here: https://t.co/HmvN8T0UW6 ^CL"
