customer_tweet_id,customer_text,brand_reply,candidate_intent
2618135.0,"Thank you Kathleen of @115821 for entertaining my long chat and for giving me free 1 day shipping! Unlike the first CSR I chatted with, whose name I can neither pronounce nor remember, you were very accommodating and helpful. Thank you ❤️ @117634 @AmazonHelp","@240710 Glad to hear that you've received enough support from our team. However, I'll ensure to forward your feedback internally to the concerned team so that it is not repeated in the future. ^NK",Delivery & Tracking
374528.0,@AmazonHelp no :-( got delayed and now the estimate is anytime until wednesday sadly,@204805 I can understand why you'd be upset! Who's the carrier for your order listed here: https://t.co/Y5jpI9gRhE ^HC,Delivery & Tracking
2284201.0,"@AmazonHelp amazon, I am really disappointed in your delivery service. Item has not come wrapped in a box and my partner now knows her Christmas present! #ruined","@663793 I understand, Marc. If available for the item, you can mark ""Ship in Amazon box"" on the checkout page if you don't want to reveal the contents: https://t.co/U3gACW5hia. ^SD",Delivery & Tracking
2890449.0,@AmazonHelp Nah.  I'm trying to watch something.  I don't think it's my phone.  I'll try my wife's S8 later.  I have the US factory unlocked version S8+,@130147 The link provided will be give you the opportunity to reach out to us and we can run through troubleshooting steps together. ^JO,Delivery & Tracking
1241101.0,Out of four @115821 orders scheduled for delivery today I received 1. Two entire orders still haven't even shipped. Super disappointed,"@411114 I'm sorry for the disappointing experience, Russell. Have you gotten any e-mails about the orders which haven't shipped? ^BL",Delivery & Tracking
1711457.0,"@AmazonHelp A package was delivered to my home but it's my neighbor's package. However, the orders page says my packages were delivered.",@518125 I'm sorry for the wait for your order. Please try these steps to locate a missing delivery: https://t.co/09zHDUYRiB ^DO,Delivery & Tracking
559816.0,"@115830 well wasted day delivery didn't come even though the van clearly went passed our house on the map just didn't stop ,waited till 10pm like told now lets see if comes tomorrow really don't need this crap  having to send stuff back,stay clear till February .",@247927 Oh no! So sorry for the delay! We are here to help! Please reach out to us here: https://t.co/6f9T7pbTKL so we can look into this issue with you! ^AD,Delivery & Tracking
2492230.0,@AmazonHelp Prime-why give me a delivery date you can’t meet?2nd delivery in a row that’s not been delivered on time. Emailed 1 hour before!,"@711505 I'm so sorry to hear about the repeat issues you've had with your orders! Has the order already been shipped? If so, can you let us know who the carrier is? You can find the tracking information for your order here: https://t.co/aaDyEz1VgE ^GS",Delivery & Tracking
2453243.0,"@115821 I got charged for amazon music but I didn't use it at all. I just cancelled it, can I get a refund or is it too late?","@702845 If you didn't use Amazon Music from the time you were charged to when you canceled, you'll get a full refund, David! ^FD",Delivery & Tracking
697873.0,@AmazonHelp Out for delivery for 2 days constantly but yet hang somewhere..most serious management problem of your own courier... strange..,@208009 We understand your concern about your order. Please share your details from the link provided for us to assist you better. ^SV,Delivery & Tracking
218877.0,"So that Amazon package that never arrived... I think it arrived today LOL like this can't be the ""repurchased"" item, it must be the original","@168190 So you can confirm which one you received, find the tracking for the replacement order here: https://t.co/HmvN8T0UW6 ^CL",Delivery & Tracking
1621277.0,"@AmazonHelp I have read the correspondence , however don’t see any resolution . I appreciate your intent to help but I have still not received d package",@496822 Apologies for inconvenience. Please reply to the e-mail received from us &amp; we'll get back to you soon. ^BS,Delivery & Tracking
